FeatureN	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
50	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Ph	PAX5alt	PAX5alt	PAX5alt	MEF2D	PAX5alt	KMT2A	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Low hypodiploid
100	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	Low hypodiploid	PAX5alt	PAX5alt	MEF2D	Hyperdiploid	Hyperdiploid
150	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5 P80R	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
200	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	Hyperdiploid
250	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt
300	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt
350	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
400	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
450	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
500	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
550	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
600	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
650	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
700	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
750	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
800	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
850	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
900	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
950	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt
1000	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt
1050	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt
1100	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt
1150	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt	PAX5alt	PAX5alt
1200	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt
1250	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt
1300	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt
1350	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt
1400	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt	PAX5alt
1450	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	PAX5alt
1500	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	Hyperdiploid
1550	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	Hyperdiploid
1600	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid	Hyperdiploid
1650	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
1700	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
