COH_sample	batch	batch1	batch2	batch3
COH000066_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000067_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000068_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000069_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000070_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000071_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000072_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000073_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000074_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000075_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000076_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000077_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000078_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000079_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000080_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000081_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000082_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000083_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000084_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000085_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000086_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000087_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000088_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000089_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000090_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000091_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000092_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000093_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000094_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000095_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000096_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000097_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000098_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000099_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000100_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000101_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000102_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000103_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000104_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000105_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000106_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000107_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000108_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000109_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000110_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000111_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000112_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000113_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000114_D1	Stranded_totalRNA_PE75bp	Stranded	totalRNA	PE75bp
COH000115_D1	Stranded_mRNA_PE75bp	Stranded	mRNA	PE75bp
COH000116_D1	Stranded_mRNA_PE75bp	Stranded	mRNA	PE75bp
COH000117_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000118_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000119_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000120_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000121_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000122_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000123_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000124_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000125_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000126_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000127_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000128_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000129_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000130_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000131_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000132_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000133_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000134_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000135_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000136_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
